서울특별시,남자,계,주민등록연앙인구[명],명,4818222.5,4767275.5,4717644,4675763.5,4642652.5,4593754,4548059
서울특별시,남자,0세,주민등록연앙인구[명],명,38060.5,33844.5,29900,27485,24862,22768.5,21611
서울특별시,남자,1세,주민등록연앙인구[명],명,39788,37816,33636.5,29780,27365.5,24677.5,22839.5
서울특별시,남자,2세,주민등록연앙인구[명],명,38639,38174.5,36261,32379.5,28930.5,26502.5,24066
서울특별시,남자,3세,주민등록연앙인구[명],명,40091.5,37270.5,36734,35036,31412.5,27972.5,25889.5
서울특별시,남자,4세,주민등록연앙인구[명],명,40837,39024.5,36300.5,35840.5,34341,30671.5,27354
서울특별시,남자,5세,주민등록연앙인구[명],명,39858,39866,38102,35562.5,35298,33693.5,30127
서울특별시,남자,6세,주민등록연앙인구[명],명,38635,38988.5,38937,37378.5,35069.5,34622.5,33168
서울특별시,남자,7세,주민등록연앙인구[명],명,38613,37967.5,38323,38379.5,37015,34590,34139
서울특별시,남자,8세,주민등록연앙인구[명],명,40807,38048,37437,37838.5,38019,36545.5,34177.5
서울특별시,남자,9세,주민등록연앙인구[명],명,40257,40345.5,37585,37025.5,37572,37619.5,36216
서울특별시,남자,10세,주민등록연앙인구[명],명,38162,39929,39935.5,37253.5,36805,37237.5,37386
서울특별시,남자,11세,주민등록연앙인구[명],명,39535.5,37818.5,39580,39645,37088,36511,36989.5
서울특별시,남자,12세,주민등록연앙인구[명],명,42464,39395,37741,39597,39744.5,37083.5,36607.5
서울특별시,남자,13세,주민등록연앙인구[명],명,43208,42041.5,39047,37447.5,39330,39390.5,36793.5
서울특별시,남자,14세,주민등록연앙인구[명],명,45915.5,42893,41784.5,38871.5,37313,39121,39212
서울특별시,남자,15세,주민등록연앙인구[명],명,52744.5,45759.5,42781.5,41721.5,38868,37203.5,39009.5
서울특별시,남자,16세,주민등록연앙인구[명],명,55583,52202,45311,42394.5,41393.5,38441.5,36818
서울특별시,남자,17세,주민등록연앙인구[명],명,55974.5,55245.5,51838.5,45020,42148.5,41043.5,38184.5
서울특별시,남자,18세,주민등록연앙인구[명],명,58701.5,55615,54906.5,51504.5,44718.5,41768,40763.5
서울특별시,남자,19세,주민등록연앙인구[명],명,61695,58891,55955.5,55497,52192,45190.5,42696
서울특별시,남자,20세,주민등록연앙인구[명],명,64386,61217.5,58541,55725,55225.5,51775.5,45178.5
서울특별시,남자,21세,주민등록연앙인구[명],명,67028.5,63800,60644.5,58016,55287.5,54749,51817.5
서울특별시,남자,22세,주민등록연앙인구[명],명,69855.5,68091,64900,62151.5,59757.5,56943.5,57134
서울특별시,남자,23세,주민등록연앙인구[명],명,72892.5,71691.5,70009.5,66964,64379,61904,59556
서울특별시,남자,24세,주민등록연앙인구[명],명,74925,74769,73658,72099,69126,66387.5,64337.5
서울특별시,남자,25세,주민등록연앙인구[명],명,74140,77648.5,77732.5,76775,75383.5,72370.5,69955.5
서울특별시,남자,26세,주민등록연앙인구[명],명,72548,76389,80342.5,80913,80046.5,78464.5,75823
서울특별시,남자,27세,주민등록연앙인구[명],명,73541,74018,78226.5,82601.5,83117.5,81971.5,80773
서울특별시,남자,28세,주민등록연앙인구[명],명,73406,73958.5,74857,79383.5,83717.5,83808,83022
서울특별시,남자,29세,주민등록연앙인구[명],명,73626,73028.5,73989.5,75192.5,79815.5,83659.5,83781.5
서울특별시,남자,30세,주민등록연앙인구[명],명,76165.5,72853,72671.5,73839.5,74981,79017.5,82860
서울특별시,남자,31세,주민등록연앙인구[명],명,76905,74776,71915.5,71977,73411,74054,77887.5
서울특별시,남자,32세,주민등록연앙인구[명],명,81198.5,75144.5,73227.5,70681,71072,72028,72686
서울특별시,남자,33세,주민등록연앙인구[명],명,87570.5,78968.5,73305,71605,69526.5,69480.5,70270.5
서울특별시,남자,34세,주민등록연앙인구[명],명,90188,84958.5,76787,71457,70054,67625.5,67615.5
서울특별시,남자,35세,주민등록연앙인구[명],명,89202,87319.5,82378,74539.5,69785,68094,65655.5
서울특별시,남자,36세,주민등록연앙인구[명],명,86116,86423,84629,79886.5,72564,67708,66105.5
서울특별시,남자,37세,주민등록연앙인구[명],명,78358.5,83471,83687,81927.5,77651.5,70432,65759
서울특별시,남자,38세,주민등록연앙인구[명],명,74009,76052.5,80840,81228,79943.5,75424,68434
서울특별시,남자,39세,주민등록연앙인구[명],명,75334,72041,73954,78685.5,79408.5,77890,73523
서울특별시,남자,40세,주민등록연앙인구[명],명,75182,73431,70084,72022.5,76969,77471.5,75977.5
서울특별시,남자,41세,주민등록연앙인구[명],명,78711,73331.5,71639,68495,70569.5,75179,75733
서울특별시,남자,42세,주민등록연앙인구[명],명,82737,77106.5,71803.5,70173.5,67406.5,69169.5,73668.5
서울특별시,남자,43세,주민등록연앙인구[명],명,84687.5,81202,75603,70526,69115.5,66146.5,67959.5
서울특별시,남자,44세,주민등록연앙인구[명],명,88418.5,83159,79731,74399.5,69553.5,67949,65074
서울특별시,남자,45세,주민등록연앙인구[명],명,88744,86937,81739.5,78497,73405.5,68460,66948
서울특별시,남자,46세,주민등록연앙인구[명],명,86198.5,87300,85535,80466,77391.5,72268.5,67424.5
서울특별시,남자,47세,주민등록연앙인구[명],명,84051,84778.5,85866.5,84156,79403,76259,71183
서울특별시,남자,48세,주민등록연앙인구[명],명,79166,82729,83455.5,84615,83089.5,78276,75186
서울특별시,남자,49세,주민등록연앙인구[명],명,74861.5,77875,81436.5,82216,83516,81846,77074
서울특별시,남자,50세,주민등록연앙인구[명],명,74746.5,73608,76682.5,80268,81147,82276,80626.5
서울특별시,남자,51세,주민등록연앙인구[명],명,75486,73415.5,72451,75560,79203,79876.5,80918.5
서울특별시,남자,52세,주민등록연앙인구[명],명,74111,74170,72246,71368.5,74487.5,77915,78616
서울특별시,남자,53세,주민등록연앙인구[명],명,75441.5,72661.5,72864,71090,70287,73237.5,76608
서울특별시,남자,54세,주민등록연앙인구[명],명,78622,74082,71391,71677.5,70044.5,69096,71978
서울특별시,남자,55세,주민등록연앙인구[명],명,79559.5,77028,72681,70074,70448.5,68769.5,67809.5
서울특별시,남자,56세,주민등록연앙인구[명],명,78393.5,78040.5,75520.5,71387,69056,69226,67430.5
서울특별시,남자,57세,주민등록연앙인구[명],명,73636.5,76660.5,76434.5,74091.5,70231,67819.5,67911
서울특별시,남자,58세,주민등록연앙인구[명],명,71170.5,72101,75092.5,74996,72908,68984,66513.5
서울특별시,남자,59세,주민등록연앙인구[명],명,67629.5,69603.5,70589,73621,73689.5,71610,67716
서울특별시,남자,60세,주민등록연앙인구[명],명,65523,66004,68001.5,69145.5,72333,72163.5,70088
서울특별시,남자,61세,주민등록연앙인구[명],명,62148.5,63830.5,64351.5,66489,67851,70816,70535
서울특별시,남자,62세,주민등록연앙인구[명],명,53978,60582,62269,62930,65221.5,66432.5,69257.5
서울특별시,남자,63세,주민등록연앙인구[명],명,52670.5,52613.5,59141,60974,61772.5,63848.5,65016.5
서울특별시,남자,64세,주민등록연앙인구[명],명,46526,51232,51268.5,57900,59819,60434,62466.5
서울특별시,남자,65세,주민등록연앙인구[명],명,40708,45434.5,50152.5,50309.5,56849.5,58539,59218.5
서울특별시,남자,66세,주민등록연앙인구[명],명,42917,39683.5,44285,49003,49336,55669.5,57292.5
서울특별시,남자,67세,주민등록연앙인구[명],명,42683.5,41698.5,38635,43260,47955.5,48173,54344.5
서울특별시,남자,68세,주민등록연앙인구[명],명,42717.5,41438.5,40552.5,37643.5,42270,46855.5,47063.5
서울특별시,남자,69세,주민등록연앙인구[명],명,38645.5,41412,40267.5,39512.5,36814,41270,45668
서울특별시,남자,70세,주민등록연앙인구[명],명,32603,37422.5,40163.5,39191.5,38538.5,35837,40246.5
서울특별시,남자,71세,주민등록연앙인구[명],명,30818.5,31521.5,36250,39027,38197,37497.5,34834.5
서울특별시,남자,72세,주민등록연앙인구[명],명,30549.5,29801.5,30509.5,35213,37982,37121.5,36436
서울특별시,남자,73세,주민등록연앙인구[명],명,33274.5,29452,28769,29582.5,34250.5,36877.5,35966.5
서울특별시,남자,74세,주민등록연앙인구[명],명,32343,31978,28375.5,27790,28648,33145,35671.5
서울특별시,남자,75세,주민등록연앙인구[명],명,26100.5,31024.5,30738.5,27412.5,26874.5,27675.5,32094
서울특별시,남자,76세,주민등록연앙인구[명],명,23312.5,24967,29717.5,29509.5,26369,25867,26698
서울특별시,남자,77세,주민등록연앙인구[명],명,21150.5,22221,23776.5,28425,28331,25276.5,24838
서울특별시,남자,78세,주민등록연앙인구[명],명,18118,20099.5,21145.5,22762.5,27235.5,27046.5,24183.5
서울특별시,남자,79세,주민등록연앙인구[명],명,15818,17178.5,19063,20113,21687.5,25901,25755
서울특별시,남자,80세 이상,주민등록연앙인구[명],명,73098.5,80706,88973.5,98565,108656.5,119031.5,131807
서울특별시,남자,80세,주민등록연앙인구[명],명,13937.5,14853.5,16196.5,18029.5,19040.5,20512.5,24482.5
서울특별시,남자,81세,주민등록연앙인구[명],명,11752,13012.5,13929,15248.5,16983,17866,19263.5
서울특별시,남자,82세,주민등록연앙인구[명],명,9436.5,10941,12087,12946.5,14264,15861,16646
서울특별시,남자,83세,주민등록연앙인구[명],명,7820.5,8689.5,10061.5,11139.5,12018.5,13247,14657
서울특별시,남자,84세,주민등록연앙인구[명],명,6277.5,7154,7937.5,9237,10251.5,11024.5,12143.5
서울특별시,남자,85세 이상,주민등록연앙인구[명],명,23874.5,26055.5,28762,31964,36099,40520.5,44614.5
서울특별시,남자,85세,주민등록연앙인구[명],명,4950,5672,6458.5,7185,8400.5,9329.5,10021.5
서울특별시,남자,86세,주민등록연앙인구[명],명,4283,4407,5103,5833,6473,7554,8344.5
서울특별시,남자,87세,주민등록연앙인구[명],명,3583,3818,3908,4509.5,5198.5,5776,6682
서울특별시,남자,88세,주민등록연앙인구[명],명,2765,3134.5,3324.5,3415,3975,4579.5,5043
서울특별시,남자,89세,주민등록연앙인구[명],명,2025.5,2367.5,2707.5,2873.5,2946,3427.5,3917
서울특별시,남자,90세,주민등록연앙인구[명],명,1434,1705.5,1987.5,2281,2442,2493,2859
서울특별시,남자,91세,주민등록연앙인구[명],명,1158,1179.5,1400.5,1678.5,1957.5,2070,2055.5
서울특별시,남자,92세,주민등록연앙인구[명],명,1093,951,960.5,1173,1407.5,1610,1669
서울특별시,남자,93세,주민등록연앙인구[명],명,846.5,870.5,761.5,766.5,953.5,1156,1307.5
서울특별시,남자,94세,주민등록연앙인구[명],명,573.5,671.5,691.5,604,618,773,912.5
서울특별시,남자,95세,주민등록연앙인구[명],명,419,438.5,518.5,544.5,472.5,469.5,578.5
서울특별시,남자,96세,주민등록연앙인구[명],명,293.5,314.5,329,413.5,438.5,367,343.5
서울특별시,남자,97세,주민등록연앙인구[명],명,158,212.5,240.5,252,322,329.5,259
서울특별시,남자,98세,주민등록연앙인구[명],명,103.5,114.5,158.5,176.5,181.5,235,234
서울특별시,남자,99세,주민등록연앙인구[명],명,63.5,75,79,113,135.5,135.5,155
서울특별시,남자,100세 이상,주민등록연앙인구[명],명,125.5,123.5,133.5,145.5,177.5,215.5,233
